line_id,file_path,line_number,original_line,translated_line
line_121,.github/ISSUE_TEMPLATE/bug_report.yml,10,请填写以下信息以帮助我们更快定位问题。,$id_142
line_122,.github/ISSUE_TEMPLATE/bug_report.yml,15,label: 提交前确认,label: $id_143
line_123,.github/ISSUE_TEMPLATE/bug_report.yml,17,"- label: 我已经搜索过现有的 issues,确认这不是重复问题","- label: $id_144 issues,$id_145"
line_124,.github/ISSUE_TEMPLATE/bug_report.yml,19,- label: 我已经阅读过项目文档,- label: $id_146
line_125,.github/ISSUE_TEMPLATE/bug_report.yml,25,label: 是否是最新版,label: $id_147
line_126,.github/ISSUE_TEMPLATE/bug_report.yml,26,description: 请确认你使用的是否是最新版本,description: $id_148
line_127,.github/ISSUE_TEMPLATE/bug_report.yml,28,"- 是,使用最新版","- $id_150,$id_149"
line_128,.github/ISSUE_TEMPLATE/bug_report.yml,29,"- 否,使用旧版本","- $id_152,$id_151"
line_129,.github/ISSUE_TEMPLATE/bug_report.yml,36,label: 调用的是哪个渠道,label: $id_153
line_130,.github/ISSUE_TEMPLATE/bug_report.yml,37,description: 例如 geminicli 或者 antigravity,description: $id_155 geminicli $id_154 antigravity
line_131,.github/ISSUE_TEMPLATE/bug_report.yml,38,"placeholder: ""例如: geminicli""","placeholder: ""$id_155: geminicli"""
line_132,.github/ISSUE_TEMPLATE/bug_report.yml,45,label: 调用的是哪个模型,label: $id_156
line_133,.github/ISSUE_TEMPLATE/bug_report.yml,46,description: 例如 gemini-2.5-flash,description: $id_155 gemini-2.5-flash
line_134,.github/ISSUE_TEMPLATE/bug_report.yml,47,"placeholder: ""例如: gemini-2.5-flash""","placeholder: ""$id_155: gemini-2.5-flash"""
line_135,.github/ISSUE_TEMPLATE/bug_report.yml,54,label: 调用的是哪个格式,label: $id_157
line_136,.github/ISSUE_TEMPLATE/bug_report.yml,55,description: 选择你使用的 API 格式,description: $id_158 API $id_57
line_137,.github/ISSUE_TEMPLATE/bug_report.yml,57,- gemini 格式,- gemini $id_57
line_138,.github/ISSUE_TEMPLATE/bug_report.yml,58,- openai 格式,- openai $id_57
line_139,.github/ISSUE_TEMPLATE/bug_report.yml,59,- claude 格式,- claude $id_57
line_140,.github/ISSUE_TEMPLATE/bug_report.yml,60,- 其他格式,- $id_159
line_141,.github/ISSUE_TEMPLATE/bug_report.yml,67,label: 具体报错内容,label: $id_160
line_142,.github/ISSUE_TEMPLATE/bug_report.yml,68,description: 请粘贴完整的错误信息或截图,description: $id_161
line_143,.github/ISSUE_TEMPLATE/bug_report.yml,70,请在这里粘贴完整的错误日志或堆栈信息,$id_162
line_144,.github/ISSUE_TEMPLATE/bug_report.yml,78,label: 错误描述,label: $id_163
line_145,.github/ISSUE_TEMPLATE/bug_report.yml,79,description: 详细描述问题的发生场景、预期行为和实际行为,description: $id_164
line_146,.github/ISSUE_TEMPLATE/bug_report.yml,81,1. 我在做什么操作时遇到了这个问题,1. $id_165
line_147,.github/ISSUE_TEMPLATE/bug_report.yml,82,2. 我期望的结果是...,2. $id_166...
line_148,.github/ISSUE_TEMPLATE/bug_report.yml,83,3. 但实际上发生了...,3. $id_167...
line_149,.github/ISSUE_TEMPLATE/bug_report.yml,90,label: 补充信息(可选),label: $id_168($id_54)
line_150,.github/ISSUE_TEMPLATE/bug_report.yml,91,description: 其他任何有助于解决问题的信息,description: $id_169
line_151,.github/ISSUE_TEMPLATE/bug_report.yml,92,placeholder: 例如:操作系统、Python 版本、相关配置等,placeholder: $id_155:$id_171Python $id_170
line_152,.github/ISSUE_TEMPLATE/config.yml,3,- name: 使用问题讨论,- name: $id_172
line_153,.github/ISSUE_TEMPLATE/config.yml,5,"about: 如果是使用方面的问题,请在 issues 中提问","about: $id_173,$id_175 issues $id_174"
line_154,.github/ISSUE_TEMPLATE/config.yml,6,- name: 项目文档,- name: $id_176
line_155,.github/ISSUE_TEMPLATE/config.yml,8,about: 查看完整文档和使用指南,about: $id_177
line_156,.github/workflows/docker-publish.yml,27,# 只在 workflow_run 成功时运行，或者非 workflow_run 触发时运行,# $id_180 workflow_run $id_178 workflow_run $id_179
line_157,.github/workflows/docker-publish.yml,37,# workflow_run 触发时需要获取最新的代码（包括 version.txt 的更新）,# workflow_run $id_181 version.txt $id_182
line_158,.github/workflows/update-version.yml,24,# 获取最新commit信息,# $id_183commit$id_184
line_159,.github/workflows/update-version.yml,30,# 写入version.txt,# $id_185version.txt
line_160,.github/workflows/update-version.yml,44,# 检查是否有变化,# $id_186
line_161,README.md,3,**将 GeminiCLI 和 Antigravity 转换为 OpenAI 、GEMINI 和 Claude API 兼容接口**,**$id_101 GeminiCLI $id_15 Antigravity $id_188 OpenAI $id_189GEMINI $id_15 Claude API $id_187**
line_162,README.md,9,[English](docs/README_EN.md) | 中文,[English](docs/README_EN.md) | $id_190
line_163,README.md,11,## 🚀 快速部署,## 🚀 $id_191
line_164,README.md,16,## ⚠️ 许可证声明,## ⚠️ $id_192
line_165,README.md,18,**本项目采用 Cooperative Non-Commercial License (CNC-1.0)**,**$id_193 Cooperative Non-Commercial License (CNC-1.0)**
line_166,README.md,20,这是一个反商业化的严格开源协议，详情请查看 [LICENSE](LICENSE) 文件。,$id_194 [LICENSE](LICENSE) $id_195
line_167,README.md,22,### ✅ 允许的用途：,### ✅ $id_196
line_168,README.md,23,- 个人学习、研究、教育用途,- $id_197
line_169,README.md,24,- 非营利组织使用,- $id_198
line_170,README.md,25,- 开源项目集成（需遵循相同协议）,- $id_199
line_171,README.md,26,- 学术研究和论文发表,- $id_200
line_172,README.md,28,### ❌ 禁止的用途：,### ❌ $id_201
line_173,README.md,29,- 任何形式的商业使用,- $id_202
line_174,README.md,30,- 年收入超过100万美元的企业使用,- $id_204100$id_203
line_175,README.md,31,- 风投支持或公开交易的公司使用,- $id_205
line_176,README.md,32,- 提供付费服务或产品,- $id_206
line_177,README.md,33,- 商业竞争用途,- $id_207
line_178,README.md,35,## 核心功能,## $id_208
line_179,README.md,37,### 🔄 API 端点和格式支持,### 🔄 API $id_209
line_180,README.md,39,**多端点多格式支持**,**$id_210**
line_181,README.md,40,- **OpenAI 兼容端点**：`/v1/chat/completions` 和 `/v1/models`,- **OpenAI $id_211**$id_212`/v1/chat/completions` $id_15 `/v1/models`
line_182,README.md,41,- 支持标准 OpenAI 格式（messages 结构）,- $id_213 OpenAI $id_214messages $id_215
line_183,README.md,42,- 支持 Gemini 原生格式（contents 结构）,- $id_56 Gemini $id_216contents $id_215
line_184,README.md,43,- 自动格式检测和转换，无需手动切换,- $id_217
line_185,README.md,44,- 支持多模态输入（文本 + 图像）,- $id_218 + $id_219
line_186,README.md,45,- **Gemini 原生端点**：`/v1/models/{model}:generateContent` 和 `streamGenerateContent`,- **Gemini $id_220**$id_212`/v1/models/{model}:generateContent` $id_15 `streamGenerateContent`
line_187,README.md,46,- 支持完整的 Gemini 原生 API 规范,- $id_221 Gemini $id_223 API $id_222
line_188,README.md,47,- 多种认证方式：Bearer Token、x-goog-api-key 头部、URL 参数 key,- $id_224Bearer Token$id_189x-goog-api-key $id_225URL $id_226 key
line_189,README.md,48,- **Claude 格式兼容**：完整支持 Claude API 格式,- **Claude $id_228**$id_227 Claude API $id_57
line_190,README.md,49,- 端点：`/v1/messages`（遵循 Claude API 规范）,- $id_231`/v1/messages`$id_229 Claude API $id_230
line_191,README.md,50,- 支持 Claude 标准的 messages 格式,- $id_56 Claude $id_232 messages $id_57
line_192,README.md,51,- 支持 system 参数和 Claude 特有功能,- $id_56 system $id_234 Claude $id_233
line_193,README.md,52,- 自动转换为后端支持的格式,- $id_235
line_194,README.md,53,- **Antigravity API 支持**：同时支持 OpenAI、Gemini 和 Claude 格式,- **Antigravity API $id_56**$id_236 OpenAI$id_189Gemini $id_15 Claude $id_57
line_195,README.md,54,- OpenAI 格式端点：`/antigravity/v1/chat/completions`,- OpenAI $id_237`/antigravity/v1/chat/completions`
line_196,README.md,55,- Gemini 格式端点：`/antigravity/v1/models/{model}:generateContent` 和 `streamGenerateContent`,- Gemini $id_237`/antigravity/v1/models/{model}:generateContent` $id_15 `streamGenerateContent`
line_197,README.md,56,- Claude 格式端点：`/antigravity/v1/messages`,- Claude $id_237`/antigravity/v1/messages`
line_198,README.md,57,- 支持所有 Antigravity 模型（Claude、Gemini 等）,- $id_238 Antigravity $id_239Claude$id_189Gemini $id_240
line_199,README.md,58,- 自动模型名称映射和思维模式检测,- $id_241
line_200,README.md,60,### 🔐 认证和安全管理,### 🔐 $id_242
line_201,README.md,62,**灵活的密码管理**,**$id_243**
line_202,README.md,63,- **分离密码支持**：API 密码（聊天端点）和控制面板密码可独立设置,- **$id_245**$id_212API $id_244
line_203,README.md,64,- **多种认证方式**：支持 Authorization Bearer、x-goog-api-key 头部、URL 参数等,- **$id_246**$id_247 Authorization Bearer$id_189x-goog-api-key $id_225URL $id_248
line_204,README.md,65,- **JWT Token 认证**：控制面板支持 JWT 令牌认证,- **JWT Token $id_251**$id_249 JWT $id_250
line_205,README.md,66,- **用户邮箱获取**：自动获取和显示 Google 账户邮箱地址,- **$id_253**$id_252 Google $id_254
line_206,README.md,68,### 📊 智能凭证管理系统,### 📊 $id_255
line_207,README.md,70,**高级凭证管理**,**$id_256**
line_208,README.md,71,- 多个 Google OAuth 凭证自动轮换,- $id_258 Google OAuth $id_257
line_209,README.md,72,- 通过冗余认证增强稳定性,- $id_259
line_210,README.md,73,- 负载均衡与并发请求支持,- $id_260
line_211,README.md,74,- 自动故障检测和凭证禁用,- $id_261
line_212,README.md,75,- 凭证使用统计和配额管理,- $id_262
line_213,README.md,76,- 支持手动启用/禁用凭证文件,- $id_263/$id_264
line_214,README.md,77,- 批量凭证文件操作（启用、禁用、删除）,- $id_265
line_215,README.md,79,**凭证状态监控**,**$id_266**
line_216,README.md,80,- 实时凭证健康检查,- $id_267
line_217,README.md,81,- 错误码追踪（429、403、500 等）,- $id_268429$id_189403$id_189500 $id_240
line_218,README.md,82,- 自动封禁机制（可配置）,- $id_269
line_219,README.md,84,### 🌊 流式传输和响应处理,### 🌊 $id_270
line_220,README.md,86,**多种流式支持**,**$id_271**
line_221,README.md,87,- 真正的实时流式响应,- $id_272
line_222,README.md,88,- 假流式模式（用于兼容性）,- $id_273
line_223,README.md,89,- 流式抗截断功能（防止回答被截断）,- $id_274
line_224,README.md,90,- 异步任务管理和超时处理,- $id_275
line_225,README.md,92,**响应优化**,**$id_276**
line_226,README.md,93,- 思维链（Thinking）内容分离,- $id_278Thinking$id_277
line_227,README.md,94,- 推理过程（reasoning_content）处理,- $id_279reasoning_content$id_280
line_228,README.md,95,- 多轮对话上下文管理,- $id_281
line_229,README.md,96,- 兼容性模式（将 system 消息转换为 user 消息）,- $id_282 system $id_283 user $id_284
line_230,README.md,98,### 🎛️ Web 管理控制台,### 🎛️ Web $id_285
line_231,README.md,100,**全功能 Web 界面**,**$id_286 Web $id_287**
line_232,README.md,101,- OAuth 认证流程管理（支持 GCLI 和 Antigravity 双模式）,- OAuth $id_288 GCLI $id_15 Antigravity $id_289
line_233,README.md,102,- 凭证文件上传、下载、管理,- $id_290
line_234,README.md,103,- 实时日志查看（WebSocket）,- $id_291WebSocket$id_292
line_235,README.md,104,- 系统配置管理,- $id_293
line_236,README.md,105,- 使用统计和监控面板,- $id_294
line_237,README.md,106,- 移动端适配界面,- $id_295
line_238,README.md,108,**批量操作支持**,**$id_296**
line_239,README.md,109,- ZIP 文件批量上传凭证（GCLI 和 Antigravity）,- ZIP $id_297GCLI $id_15 Antigravity$id_292
line_240,README.md,110,- 批量启用/禁用/删除凭证,- $id_298/$id_300/$id_299
line_241,README.md,111,- 批量获取用户邮箱,- $id_301
line_242,README.md,112,- 批量配置管理,- $id_302
line_243,README.md,113,- 统一批量上传界面管理所有凭证类型,- $id_303
line_244,README.md,115,### 📈 使用监控,### 📈 $id_304
line_245,README.md,117,**实时监控**,**$id_305**
line_246,README.md,118,- WebSocket 实时日志流,- WebSocket $id_306
line_247,README.md,119,- 系统状态监控,- $id_307
line_248,README.md,120,- 凭证健康状态,- $id_308
line_249,README.md,121,- API 调用成功率统计,- API $id_309
line_250,README.md,123,### 🔧 高级配置和自定义,### 🔧 $id_310
line_251,README.md,125,**网络和代理配置**,**$id_311**
line_252,README.md,126,- HTTP/HTTPS 代理支持,- HTTP/HTTPS $id_312
line_253,README.md,127,- 代理端点配置（OAuth、Google APIs、元数据服务）,- $id_314OAuth$id_189Google APIs$id_313
line_254,README.md,128,- 超时和重试配置,- $id_315
line_255,README.md,129,- 网络错误处理和恢复,- $id_316
line_256,README.md,131,**性能和稳定性配置**,**$id_317**
line_257,README.md,132,- 429 错误自动重试（可配置间隔和次数）,- 429 $id_318
line_258,README.md,133,- 抗截断最大重试次数,- $id_319
line_259,README.md,135,**日志和调试**,**$id_320**
line_260,README.md,136,- 多级日志系统（DEBUG、INFO、WARNING、ERROR）,- $id_321DEBUG$id_189INFO$id_189WARNING$id_189ERROR$id_292
line_261,README.md,137,- 日志文件管理,- $id_322
line_262,README.md,138,- 实时日志流,- $id_306
line_263,README.md,139,- 日志下载和清空,- $id_323
line_264,README.md,141,### 🔄 环境变量和配置管理,### 🔄 $id_324
line_265,README.md,143,**灵活的配置方式**,**$id_325**
line_266,README.md,144,- 环境变量配置,- $id_326
line_267,README.md,145,- 热配置更新（部分配置项）,- $id_327
line_268,README.md,146,- 配置锁定（环境变量优先级）,- $id_328
line_269,README.md,148,## 支持的模型,## $id_329
line_270,README.md,150,所有模型均具备 1M 上下文窗口容量。每个凭证文件提供 1000 次请求额度。,$id_331 1M $id_330 1000 $id_332
line_271,README.md,152,### 🤖 基础模型,### 🤖 $id_117
line_272,README.md,156,### 🧠 思维模型（Thinking Models）,### 🧠 $id_333Thinking Models$id_292
line_273,README.md,157,- `gemini-2.5-pro-maxthinking`：最大思考预算模式,- `gemini-2.5-pro-maxthinking`$id_334
line_274,README.md,158,- `gemini-2.5-pro-nothinking`：无思考模式,- `gemini-2.5-pro-nothinking`$id_335
line_275,README.md,159,- 支持自定义思考预算配置,- $id_336
line_276,README.md,160,- 自动分离思维内容和最终回答,- $id_337
line_277,README.md,162,### 🔍 搜索增强模型,### 🔍 $id_338
line_278,README.md,163,- `gemini-2.5-pro-search`：集成搜索功能的模型,- `gemini-2.5-pro-search`$id_339
line_279,README.md,165,### 🖼️ 图像生成模型（Antigravity）,### 🖼️ $id_340Antigravity$id_292
line_280,README.md,166,- `gemini-3-pro-image`：基础图像生成模型,- `gemini-3-pro-image`$id_341
line_281,README.md,167,- **分辨率后缀**：,- **$id_342**$id_212
line_282,README.md,168,- `-2k`：2K 分辨率,- `-2k`$id_2122K $id_343
line_283,README.md,169,- `-4k`：4K 高清分辨率,- `-4k`$id_2124K $id_344
line_284,README.md,170,- **比例后缀**：,- **$id_345**$id_212
line_285,README.md,171,- `-1x1`：正方形（头像）,- `-1x1`$id_346
line_286,README.md,172,- `-16x9`：横屏（电脑壁纸）,- `-16x9`$id_347
line_287,README.md,173,- `-9x16`：竖屏（手机壁纸）,- `-9x16`$id_348
line_288,README.md,174,- `-21x9`：超宽屏（带鱼屏）,- `-21x9`$id_349
line_289,README.md,175,- `-4x3`：传统显示器,- `-4x3`$id_350
line_290,README.md,176,- `-3x4`：竖版海报,- `-3x4`$id_351
line_291,README.md,177,- **组合使用示例**：,- **$id_352**$id_212
line_292,README.md,178,- `gemini-3-pro-image-4k-16x9`：4K 横屏,- `gemini-3-pro-image-4k-16x9`$id_2124K $id_353
line_293,README.md,179,- `gemini-3-pro-image-2k-9x16`：2K 竖屏,- `gemini-3-pro-image-2k-9x16`$id_2122K $id_354
line_294,README.md,180,- 不指定比例时，API 自动决定横竖比例,- $id_356API $id_355
line_295,README.md,182,### 🌊 特殊功能变体,### 🌊 $id_357
line_296,README.md,183,- **假流式模式**：在任何模型名称后添加 `-假流式` 后缀,- **$id_359**$id_358 `-$id_121` $id_360
line_297,README.md,184,- 例：`gemini-2.5-pro-假流式`,- $id_361`gemini-2.5-pro-$id_121`
line_298,README.md,185,- 用于需要流式响应但服务端不支持真流式的场景,- $id_362
line_299,README.md,186,- **流式抗截断模式**：在模型名称前添加 `流式抗截断/` 前缀,- **$id_364**$id_363 `$id_80/` $id_365
